"MotionId","ActionId","DisplayName"
"AS_p01_000","Idle","待機"
"AS_p01_001","CrouchIdle","しゃがみ待機"
"AS_p01_004","Walking","歩き"
"AS_p01_005","ForwardStep","前ステップ"
"AS_p01_006","BackwardStep","後ろステップ"
"AS_p01_100","Block","ガード"
"AS_p01_101","LightHit","被弾"
"AS_p01_102","Knockdown","ダウン"
"AS_p01_103","Thrown","投げられ"
"AS_p01_104","ForwardThrow","前投げ"
"AS_p01_200","StandingLightPunch","立ち弱P"
"AS_p01_201","StandingMediumPunch","立ち中P"
"AS_p01_202","StandingHeavyPunch","立ち強P"
"AS_p01_203","CrouchingLightPunch","下段（弱）"
"AS_p01_204","CrouchingMediumPunch","下段（中）"
"AS_p01_205","CrouchingHeavyPunch","下段（強）"
"AS_p01_206","Hadouken","波動拳"
"AS_p01_207","LightShoryuken","昇龍拳（弱）"
